c_fraction,any_pillar_tipped_rate,cascade_started_rate,all_tipped_rate,mean_defection_rate
0.005,0.01,0.0,0.0,0.00872611464968153
0.01,0.04,0.03,0.0,0.025475435816164817
0.015,0.18,0.15,0.0,0.06578864353312301
0.02,0.53,0.43,0.0,0.179678431372549
0.025,0.69,0.63,0.0,0.27139734582357533
0.03,0.92,0.86,0.0,0.3931934731934732
0.035,0.98,0.93,0.0,0.4466357308584687
0.04,1.0,1.0,0.0,0.49113076923076926
0.045,1.0,1.0,0.0,0.5197549770290965
0.05,1.0,1.0,0.0,0.5175304878048781
0.055,1.0,1.0,0.0,0.5516464339908953
0.06,1.0,1.0,0.0,0.5895169811320755
0.065,1.0,1.0,0.0,0.5897896318557475
0.07,1.0,1.0,0.0,0.6123560209424085
0.075,1.0,1.0,0.0,0.6275577066269548
0.08,1.0,1.0,0.0,0.6254444444444444
0.085,1.0,1.0,0.0,0.6358554572271387
0.09,1.0,1.0,0.0,0.6414757709251101
0.095,1.0,1.0,0.0,0.6478216374269005
0.1,1.0,1.0,0.0,0.648261818181818
0.105,1.0,1.0,0.0,0.6590224475018103
0.11,1.0,1.0,0.0,0.6662941600576785
0.115,1.0,1.0,0.0,0.6681981335247664
0.12,1.0,1.0,0.0,0.6787857142857144
0.125,1.0,1.0,0.0,0.688520625889047
0.13,1.0,1.0,0.0,0.6859773371104815
0.135,1.0,1.0,0.0,0.6984062059238363
0.14,1.0,1.0,0.0,0.7077543859649121
0.145,1.0,1.0,0.0,0.7046960167714884
0.15,1.0,1.0,0.0,0.7146207376478775
0.155,1.0,1.0,0.0,0.7256618156618156
0.16,1.0,1.0,0.02,0.7256413793103449
0.165,1.0,1.0,0.0,0.7411607142857143
0.17,1.0,1.0,0.07,0.7512585499316005
0.17500000000000002,1.0,1.0,0.08,0.7607016348773843
0.18,1.0,1.0,0.18,0.7699661016949153
0.185,1.0,1.0,0.19,0.7774274139095206
0.19,1.0,1.0,0.31,0.7846940147948892
0.195,1.0,1.0,0.35,0.793757535164099
0.2,1.0,1.0,0.51,0.8062333333333334
0.20500000000000002,1.0,1.0,0.62,0.8185790172642762
0.21,1.0,1.0,0.63,0.821111111111111
0.215,1.0,1.0,0.79,0.8353820816864296
0.22,1.0,1.0,0.86,0.8519081967213115
0.225,1.0,1.0,0.88,0.8597126061397777
0.23,1.0,1.0,0.94,0.8652179570592061
0.23500000000000001,1.0,1.0,0.98,0.8806675307841868
0.24,1.0,1.0,0.94,0.8742903225806452
0.245,1.0,1.0,0.99,0.8921401028277636
0.25,1.0,1.0,0.99,0.9030665813060179
0.255,1.0,1.0,0.99,0.9071237244897958
0.26,1.0,1.0,0.99,0.9128380952380951
0.265,1.0,1.0,1.0,0.9194307400379507
0.27,1.0,1.0,1.0,0.9305986137366099
0.275,1.0,1.0,1.0,0.9254551161330822
0.28,1.0,1.0,1.0,0.92969375
0.28500000000000003,1.0,1.0,1.0,0.9340597758405977
0.29,1.0,1.0,1.0,0.9398200992555832
0.295,1.0,1.0,1.0,0.9385166872682325
0.3,1.0,1.0,1.0,0.9462215384615383
